survey_no,year,date,name,new_old,surv_name,E,N,Elev
1,2015,2015-07-16,,,CONK2,505177.5,5631146,1889.4
1,2015,2015-07-16,,,CONKJ,504922.8,5630804,2022.4
1,2015,2015-07-16,CST2,new,CONK3,505188.8,5630627,2077.3
1,2015,2015-07-16,,,CONKWX,505460.7,5630350,2125.8
1,2015,2015-07-16,,,CONKWX2,505544.5,5630157,2148.2
1,2015,2015-07-16,,,CONKIN,505215.9,5629867,2209.1
1,2015,2015-07-16,,,CONKINK,505278,5629838,2206.0
1,2015,2015-07-16,CST3,old,CONKINK3,505542.8,5629937,2177.8
1,2015,2015-07-16,CST3,new,CONKINK3A,505544.7,5629931,2181.7
1,2015,2015-07-16,,,CONKINKJ,505475.7,5630744,2089.4
1,2015,2015-07-16,CST1,old,CONKINK1,504988.1,5630981,1973.2
1,2015,2015-07-16,CST1,new,CONKINK1A,504987.4,5630982,1972.4
1,2015,2015-07-16,,,CONKINKJ3,505101.6,5631178,1900.8
1,2015,2015-07-16,CST0,new,CONKINK0,505139.8,5631227,1880.5
1,2015,2015-07-16,,,CONKINKT,505226.2,5631307,1827.1
2,2015,2015-09-06,,,CONK150906,505221.4,5631288,1830.6
2,2015,2015-09-06,CST0,old,CONK15STOO,505142.1,5631229,1876.8
2,2015,2015-09-06,CST0,new,CONK15STON,505142.6,5631227,1877.0
2,2015,2015-09-06,CST1,old,CONK15ST1O,504990.2,5630988,1968.0
2,2015,2015-09-06,CST1,new,CONK15ST1N,504991.1,5630988,1967.8
2,2015,2015-09-06,CST2,old,CONK15ST20,505186.6,5630630,2073.4
2,2015,2015-09-06,CST2,new,CONK15ST2N,505186.4,5630627,2074.2
2,2015,2015-09-06,,,CONK15SUN,505461.5,5630359,2122.6
2,2015,2015-09-06,,,CONK15SUN2,505541.4,5630160,2145.1
2,2015,2015-09-06,CST3,old,CONK15ST3O,505541,5629942,2174.6
2,2015,2015-09-06,CST3,new,CONK15ST3N,505540.9,5629941,2174.8
2,2015,2015-09-06,,,CONK15END,505418.1,5629945,2168.9
2,2015,2015-09-06,,,CONK,505029.6,5629437,2285.5
2,2015,2015-09-06,,,CONRADB,505215.1,5629866,2209.1
2,2015,2015-09-06,,,CONRA,505215.1,5629866,2209.1
3,2016,2016-06-20,CST3A,new,CST3A,505354.2,5629821,2205.5
3,2016,2016-06-20,CST3B,new,CST3B,505507.8,5629692,2204.7
3,2016,2016-06-20,CST3C,new,CST3C,505659.6,5629560,2207.4
3,2016,2016-06-20,CST3D,new,CST3D,505856.3,5629522,2205.7
3,2016,2016-06-20,CBASE16B,control,CBASE16B,505215.9,5629869,2209.4
3,2016,2016-06-20,CST3E,new,CST3E,506050.4,5629608,2205.6
3,2016,2016-06-20,CST3F,new,CST3F,506156.7,5629717,2205.1
3,2016,2016-06-20,CST2C,new,CST2C,505192,5630627,2076.1
3,2016,2016-06-20,CST2D,new,CST2D,505307.4,5630711,2073.4
3,2016,2016-06-20,CST2B,new,CST2B,505077.6,5630522,2075.2
3,2016,2016-06-20,CST2A,new,CST2A,504995,5630419,2075.7
3,2016,2016-06-20,CST1,old,CST1,504994.8,5630999,1964.7
3,2016,2016-06-20,CST0,old,CST0,505146.2,5631231,1874.8
3,2016,2016-06-20,CST0,new,CST0NEW,505139.4,5631225,1877.9
3,2016,2016-06-20,CST3,old,CST3OLD,505535.1,5629966,2172.9
3,2016,2016-06-20,CST5F,new,CST5D,506378.9,5628620,2383.7
3,2016,2016-06-20,CST5C,new,CST5C,505867.1,5628658,2379.2
3,2016,2016-06-20,CST5B,new,CST5B,505287.3,5628681,2379.2
3,2016,2016-06-20,CST5A,new,CST5A,504917.8,5628805,2381.6
3,2016,2016-06-20,CT1,,CT1,505215,5629861,2208.7
3,2016,2016-06-20,CT1A,,CT1A,505215,5629861,2208.7
3,2016,2016-06-20,CT2,,CT2,505193.6,5629868,2206.5
3,2016,2016-06-20,CT2A,,CT2A,505193.6,5629868,2206.5
3,2016,2016-06-20,CT3,,CT3,505185,5629884,2208.0
3,2016,2016-06-20,CT3A,,CT3A,505185,5629884,2208.0
3,2016,2016-06-20,CT4,,CT4,505196.2,5629896,2205.5
3,2016,2016-06-20,CT4A,,CT4A,505196.2,5629896,2205.6
4,2016,2016-06-20,,,CBASE16,505215.9,5629869,2209.4
4,2016,2016-08-29,,,CCP2a26,505193.6,5629868,2206.6
4,2016,2016-08-29,,,CCP2b27,505194.3,5629870,2206.5
4,2016,2016-08-29,,,CCP2b29,505192.3,5629868,2206.9
4,2016,2016-08-29,,,CCP2c30,505192.5,5629869,2207.4
4,2016,2016-08-29,,,CCP2c31,505192.8,5629868,2206.3
4,2016,2016-08-29,,,CCP3a26,505184.3,5629886,2205.2
4,2016,2016-08-29,,,CONRADS1,505216,5629869,2209.5
4,2016,2016-08-29,,,CONRADS2,505216,5629869,2209.5
4,2016,2016-08-29,CST0,old,CST0O,505140.1,5631226,1871.1
4,2016,2016-08-29,CST0,new,CST0N,505062.2,5631130,1914.5
4,2016,2016-08-29,CST1,new,CST1,504989.9,5630988,1975.4
4,2016,2016-08-29,CST1,old,CST1O,504995.5,5631002,1958.9
4,2016,2016-08-29,CST2A,new,CST2A,504994.6,5630421,2074.0
4,2016,2016-08-29,CST2A,old,CST2A0,504992.2,5630421,2071.1
4,2016,2016-08-29,CST2B,old,CST2B0,505074.2,5630525,2071.3
4,2016,2016-08-29,CST2C,old,CST2C0,505188.7,5630631,2071.1
4,2016,2016-08-29,CST2D,old,CST2D0,505304.8,5630714,2068.4
4,2016,2016-08-29,CST2D,new,CST2DN,505309.1,5630711,2069.5
4,2016,2016-08-29,CST3A,new,CST3A,505350.7,5629818,2203.1
4,2016,2016-08-29,CST3A,old,CST3AO,505355.1,5629827,2200.1
